script_path	language	pipeline_stage	purpose	entrypoint_or_reproduction_command	cli_options	declared_input_output_paths	line_count	sha256	documentation_status	catalogued_at_utc
scripts/acquire_pharmacology_evidence.py	Python	data_acquisition	Acquire pharmacology evidence for prioritized RSES-Onco targets. Live, cached sources: - Open Targets GraphQL: tractability, known drugs, indication context; - ChEMBL REST: target mechanisms and bioactivity; - DGIdb GraphQL: aggregated drug-gene interactions; - MyChem.info REST: compound identifiers and annotation enrichment; - Pharos/TCRD GraphQL: target development level and drug ligands; - CIViC: verified gene-level precision-oncology record links. GDSC, CTRP and PRISM are release files rather than stable per-target APIs and are handled by ``standardize_drug_sensitivity.py`` and ``analyze_drug_response_selectivity.py``. Network/API failures are recorded in a source-status table; they are never converted to zero evidence.	python -u scripts/acquire_pharmacology_evidence.py --help	--cache-dir;--chembl-activity-limit;--max-targets;--minimum-vulnerability-score;--output-dir;--ranking;--refresh;--sleep;--sources;--strict-source	data/processed/pharmacology;data/raw/pharmacology/api_cache;results/expanded_26Q1/full/expanded_rses_onco.tsv	740	02315f0ac5f85875052e1b91b456f830679c9feda75294b490f44b86bfbc77d0	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/aggregate_gdc_gene_cna.py	Python	supporting_module	Aggregate downloaded GDC ASCAT3 gene-level integer CN into homdel matrices. Output is deletion-only discrete coding: 0 total copies -> -2; >0 copies -> 0; missing remains missing. This is compatible with the RSES-Onco homozygous- deletion frequency function but must not be described as a GISTIC matrix.	python -u scripts/aggregate_gdc_gene_cna.py --help	--manifest;--output-dir;--raw-dir	data/processed;data/raw/gdc;data/raw/gdc/gdc_gene_level_copy_number_manifest.json	118	45329e1ea4f61f2a302f27c3d47a28e49fca29e337d76c38e8d0c9b2fb602441	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/aggregate_wgcna_regulatory_layer.py	Python	expression_and_regulation	Collapse cancer-specific WGCNA/regulatory evidence to a consensus pair prior. Cancer-specific measurements remain in the detailed source tables. The functional microniche receives a consensus prior so the same expression or methylation matrix is not counted as three independent evidence units in each cancer-specific RSES-Onco score.	python -u scripts/aggregate_wgcna_regulatory_layer.py --help	--base;--cancer-specific;--output		129	2a856aabd8c0af6b3fc59aa4c0ed1a07ad69ddffd9bd9faa2727babfbe34371a	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/analyze_drug_response_selectivity.py	Python	pharmacology	Test whether candidate drugs preferentially affect biomarker-loss cancer models. The input sensitivity table is produced by ``standardize_drug_sensitivity.py``. For each candidate loss-target-drug hypothesis, response in copy-number-loss and intact models is compared within colorectal, gastric or lung lineages. P values are Benjamini-Hochberg adjusted within each source and cancer family.	python -u scripts/analyze_drug_response_selectivity.py --help	--copy-number;--evidence-output;--gene-effect;--loss-threshold;--min-group-size;--models;--output;--pharmacology-evidence;--ranking;--sensitivity	data/processed/pharmacology/drug_response_selectivity.tsv;data/processed/pharmacology/drug_sensitivity_long.tsv;data/processed/pharmacology/pharmacology_evidence_long.tsv;data/processed/pharmacology/pharmacology_sensitivity_evidence.tsv;results/expanded_26Q1/full/expanded_rses_onco.tsv	317	cf769e86d6211098c399112284538ff15bc24232dbcee477528e6d1d96b09a17	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_article_workbook.py	Python	tables_and_reproducibility	Build the complete organized article, supplementary, QC and evidence workbook.	python -u scripts/build_article_workbook.py --help	--article-root;--output	article_outputs/workbooks/RSES_Onco_Article_Tables_and_Evidence.xlsx	143	f1a0ee08bcd79e1eea11246bcb0bd1318d9bef8e6ab1c1c83bc4d4575d6c1f1f	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_asset_reproduction_registry.py	Python	supporting_module	Build the human-readable figure/table reproduction registry. The registry is a supplementary table rather than an opaque technical manifest. It records the responsible script, expected inputs, command, output and document location for every registered publication figure and table.	python -u scripts/build_asset_reproduction_registry.py --help	--article-root;--config	config/article_assets.yaml;data/figures/{category}/{record;supplementary/Table_S44_asset_reproduction_registry.tsv	111	9942b6ec9cdf4bd47ff14546b9f83ef2d62d4fa2c131860be70d9b3c43c5713c	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_empirical_workbook.py	Python	tables_and_reproducibility	Build a multi-sheet Excel workbook from benchmark or expanded RSES-Onco outputs.	python -u scripts/build_empirical_workbook.py --help	--input;--output	data/processed/expanded_candidate_universe.tsv;data/processed/expanded_class_member_inventory.tsv;data/processed/expanded_pair_functional_evidence.tsv;results/empirical_26Q1/full/empirical_rses_onco_by_cancer.tsv;supplementary/RSES_Onco_Empirical_26Q1.xlsx	95	f8ea6b18196b60393a32cfd03082cbcc4c09c792914b28930f169203047d4589	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_expanded_candidate_universe.py	Python	candidate_universe	Build the expanded RSES-Onco candidate universe. The mandatory universe contains every directed cross-cluster human NISE pair plus all curated benchmark vulnerabilities. Optional standardized tables can add Ensembl paralogs, pathway backups, collateral-deletion pairs, downstream vulnerabilities or other explicitly sourced classes. Composite biological loss states are preserved as composite features. In contrast, an explicitly gene-valued target field such as ``CDK4/CDK6`` is expanded into one atomic target hypothesis per gene while retaining the original target feature and pair-group provenance.	python -u scripts/build_expanded_candidate_universe.py --help	--additional;--benchmarks;--members-output;--nise-pairs;--output	data/curated/synthetic_lethality_reference_pairs.tsv;data/processed/expanded_candidate_universe.tsv;data/processed/expanded_class_member_inventory.tsv;data/processed/human_nise_all_within_activity_pairs_2017.tsv	182	55156c2ad8d0dfd5db5d3c6abb4a99defdcb8bee49b19881d6c252a1964f1171	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_extended_multiomics_evidence.py	Python	supporting_module	Build scored and exploratory extended multi-omics evidence for RSES-Onco.	python -u scripts/build_extended_multiomics_evidence.py --help	--config;--copy-number;--input-dir;--loss-threshold;--min-group-size;--models;--output-dir;--ranking;--strict	config/extended_multiomics_sources.yaml;data/processed/extended_multiomics;data/raw/depmap/Model.csv;data/raw/depmap/OmicsCNGeneWGS.csv;results/expanded_26Q1/full/expanded_rses_onco.tsv	367	c8ef89a99789242aa3eb03831bfe8a001924fa420086f6390bbe740f2dc33dbb	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_genomic_circos_inputs.py	Python	genomic_circos	Build genomic Circos inputs for every NISE and homologous-paralog hypothesis.	python -u scripts/build_genomic_circos_inputs.py --help	--candidates;--expression;--models;--output-dir;--promoters;--ranking	data/processed/circos;data/processed/expanded_candidate_universe.tsv;data/raw/depmap/;data/raw/depmap/Model.csv;data/raw/regulatory/ensembl_promoters.tsv;results/expanded_26Q1/full/expanded_rses_onco.tsv	593	d37546111fa801ca32ba4a959b734a72fb37b1e63f92096d3c93471313788f7f	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_genomic_circos_methods.py	Python	genomic_circos	Generate supplementary methods for the genomic Circos and its score rings.	python -u scripts/build_genomic_circos_methods.py --help	--output;--tracks	article_outputs/manuscript_assets/;data/processed/circos/	113	13882130e75877368c25e5a7a3eeef4a5fa199688b20f003a92fb2bd115bc207	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_model_level_supporting_evidence.py	Python	supporting_module	Build model-level expression, coexpression, compensation and CRISPR support tables. Only gene-pair hypotheses with real DepMap measurements are evaluated. Composite biomarkers are retained in an explicit non-eligible status table and are never converted into single-gene events. Correlation is reported descriptively and is not interpreted as compensation; compensation is operationally tested as target expression in loss versus intact models.	python -u scripts/build_model_level_supporting_evidence.py --help	--copy-number;--expression;--gene-effect;--loss-threshold;--models;--output-root;--ranking	results/expanded_26Q1/full/expanded_rses_onco.tsv	446	3477372b75777f1505df15ac0d77fb15ea1b0396e0e812f2e9b99a14d1086ef5	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_publication_documents.py	Python	documentation	Build and optionally render the RSES-Onco manuscript and supplement. The documents use only repository text sources, registered figure assets and registered tables. Figure captions remain editable Word text. Supplementary Figures S68 and S69 are forced onto separate pages.	python -u scripts/build_publication_documents.py --help	--article-root;--convert-to;--headless;--libreoffice;--manuscript-source;--outdir;--output-dir;--pdftoppm;--render-pages;--render-pdf;--supplement-source	article_outputs/documents;manuscript/RSES_Onco_manuscript_source.md;manuscript/RSES_Onco_supplement_source.md	249	04a6d0abe50dce04a0f9ff841e86fde60ac705d3df9a7fd5df3fba3a624a7064	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_publication_evidence_audit.py	Python	validation	Build publication-grade coverage, missingness and score-decomposition audits. Inputs ------ - cancer-specific RSES-Onco ranking; - functional evidence table; - pharmacology evidence table; - acquisition metadata/status JSON files. Outputs ------- Open TSV tables under ``article_outputs/tables/qc`` and ``article_outputs/tables/score_components``. Missing evidence is retained as missing, non-eligible domains are explicit, and technical source failures are never interpreted as biological negatives.	python -u scripts/build_publication_evidence_audit.py --help	--functional-evidence;--output-root;--pharmacology-evidence;--ranking;--source-metadata-root	article_outputs/tables/qc;article_outputs/tables/score_components;data/processed/expanded_pair_functional_evidence.tsv;data/processed/pharmacology/pharmacology_evidence_long.tsv;data/raw;data/status;results/expanded_26Q1/full/expanded_rses_onco.tsv	375	a801c9655f66c6625544d3cc680d0ec19bc6ffdbd05b6e548b87d79ca26ba0e8	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_publication_evidence_audit_complete.py	Python	validation	Run the eligibility-aware evidence audit and finalize coverage/overlap views.	python -u scripts/build_publication_evidence_audit_complete.py --help		data/processed/expanded_pair_functional_evidence.tsv;data/processed/pharmacology/pharmacology_evidence_long.tsv;data/raw/human_functional_evidence;results/expanded_26Q1/full/expanded_rses_onco.tsv	282	3bc22f18aabdddb4d79b5fc9fd61ebdbe3455947a89001d729a8b6f08b476356	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_publication_manifest.py	Python	tables_and_reproducibility	Create publication-asset inventories, provenance and SHA-256 checksums.	python -u scripts/build_publication_manifest.py --help	--abbrev-ref;--article-root;--input;--porcelain		221	fa1bd52eeff229c5ba7d15d573620880b58d088b082b9575cdc637750799ea80	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_publication_methods_documentation.py	Python	documentation	Generate human-readable scientific methods and asset-reproduction documentation.	python -u scripts/build_publication_methods_documentation.py --help	--article-root	data/figure_source_data_inventory.tsv;supplementary/Table_S44_asset_reproduction_registry.tsv	142	b4b7fc67af5e11a84e7f421942fe7666603065c71ddb528a9321c16543525d8c	documented_from_source	2026-07-24T00:44:27.228700+00:00
scripts/build_relation_forest.py	Python	candidate_universe	Build a non-phylogenetic human enzyme relation forest from the curated NISE table. Leaves are grouped first by reported structural cluster and then by EC activity. This is a functional/annotation topology for navigation, not an evolutionary tree.	python -u scripts/build_relation_forest.py --help	--catalog;--edges;--output	data/curated/human_nise_bonafide_2017.tsv;results/human_nise_relation_edges.tsv;results/human_nise_relation_forest.nwk	63	14262a21148bea277453173df070190b75f404195cef7b4d9a12aaec2f53d472	documented_from_source	2026-07-24T00:44:27.228700+00:00
