pair_id	lost_feature	target_gene	relation_type	mechanism	colon	stomach	lung	relation_confidence	genetic_screen	isogenic_validation	in_vivo	clinical_tractability	lineage_relevance	evidence_stage	primary_doi	supporting_doi	status
SL001	MTAP	PRMT5	collateral_metabolic	MTAP loss accumulates MTA and creates an MTA-conditioned PRMT5 dependency	1	1	1	1.0	1.0	0.95	0.95	1.0	0.95	clinical-stage	10.1126/science.aad5214	10.1158/2159-8290.CD-23-0669	validated prior
SL002	MTAP	MAT2A	collateral_metabolic	MTAP deletion rewires methionine/SAM metabolism and sensitizes cells to MAT2A suppression	1	1	1	0.95	0.95	0.9	0.85	0.95	0.9	clinical-stage	10.1126/science.aad5944	10.1126/science.aad5214	validated prior
SL003	MTAP	WDR77	collateral_metabolic_complex	WDR77 is an obligate PRMT5 complex partner enriched as a dependency after MTAP loss	1	1	1	0.8	0.95	0.65	0.35	0.35	0.85	preclinical	10.1126/science.aad5214		validated prior
SL004	MSI/MMR deficiency	WRN	pathway_backup_DNA_repair	MSI cells require WRN helicase to resolve expanded TA repeats and replication-associated DNA structures	1	1	0	1.0	1.0	1.0	1.0	1.0	1.0	clinical-stage	10.1038/s41586-019-1102-x	10.1038/s41586-024-07350-y	validated prior
SL005	BRCA1/BRCA2 or HRD	PARP1	pathway_backup_DNA_repair	Homologous recombination deficiency makes replication-associated lesions caused by PARP inhibition lethal	1	1	1	1.0	1.0	1.0	1.0	1.0	0.65	approved paradigm	10.1038/nature03443	10.1038/nature03445	validated prior
SL006	BRCA1/BRCA2 or HRD	POLQ	pathway_backup_DNA_repair	HR-deficient tumors rely on POLQ-mediated microhomology-mediated end joining	1	1	1	1.0	0.95	1.0	0.9	0.9	0.7	clinical-stage	10.1038/nature14184		validated prior
SL007	BRCA1/BRCA2 or replication-gap phenotype	USP1	pathway_backup_DNA_repair	USP1 inhibition drives toxic accumulation/processing of ubiquitinated PCNA in DNA-damage-vulnerable cells	1	1	1	0.9	0.95	0.95	0.85	0.95	0.75	clinical-stage	10.1158/0008-5472.CAN-22-1632		validated prior
SL008	ATM loss	ATR	pathway_backup_DNA_repair	ATM-deficient cells depend on ATR-mediated replication-stress signaling	1	1	1	0.95	0.9	0.9	0.85	0.95	0.8	clinical-stage	10.1158/1535-7163.MCT-16-0378		high-confidence prior
SL009	ARID1A loss	ATR	chromatin_DNA_repair_dependency	ARID1A-deficient cells show replication/decatenation defects that increase ATR dependence	1	1	1	0.85	0.85	0.9	0.8	0.95	0.9	clinical-stage	10.1038/ncomms13837		high-confidence prior
SL010	SMARCA4 loss	SMARCA2	paralog_dependency	SMARCA4-deficient cancers depend on the alternative SWI/SNF ATPase SMARCA2	0	0	1	1.0	1.0	1.0	0.95	0.95	1.0	clinical-stage	10.1038/ncb3028		validated prior
SL011	SMARCA4 loss	CDK4/CDK6	downstream_synthetic_lethality	SMARCA4 loss reduces cyclin D1 and sensitizes NSCLC to CDK4/6 inhibition	0	0	1	0.8	0.75	0.95	0.95	1.0	1.0	repurposing-ready	10.1038/s41467-019-08380-1		validated prior
SL012	ENO1 homozygous deletion	ENO2	collateral_paralog_metabolic	Loss of ENO1 exposes dependence on the redundant glycolytic enolase ENO2	1	1	1	1.0	0.9	1.0	1.0	0.75	0.35	preclinical pharmacology	10.1038/nature11331	10.1038/s42255-020-00313-3	platform positive control
SL013	ME2 homozygous deletion	ME3	collateral_paralog_metabolic	ME2-null cells depend on ME3 for mitochondrial NADPH and redox homeostasis	1	1	1	1.0	0.85	1.0	0.95	0.45	0.3	preclinical	10.1038/nature21052		platform positive control
SL014	NTHL1 loss	NEIL1	human_NISE_DNA_repair_hypothesis	Alternative oxidized-base excision activities may become non-redundant after NTHL1 loss	1	1	1	0.65	0.2	0.1	0.0	0.25	0.75	hypothesis	10.1093/gbe/evx119		RSES-Onco discovery hypothesis
SL015	NTHL1 loss	OGG1	human_NISE_DNA_repair_hypothesis	NTHL1 and OGG1 occupy partly overlapping but lesion-specific base-excision microniches	1	1	1	0.65	0.25	0.1	0.0	0.65	0.75	hypothesis	10.1093/gbe/evx119		RSES-Onco discovery hypothesis
SL016	NTHL1 loss	APEX1	human_NISE_DNA_repair_hypothesis	Loss of glycosylase/AP-lyase capacity may heighten dependence on downstream AP-endonuclease processing	1	1	1	0.55	0.3	0.1	0.0	0.55	0.75	hypothesis	10.1093/gbe/evx119		RSES-Onco discovery hypothesis
SL017	OGG1 loss	NEIL1	human_NISE_DNA_repair_hypothesis	Alternative glycosylases may buffer oxidized-base repair in lesion- and replication-context-specific fashion	1	1	1	0.65	0.2	0.05	0.0	0.25	0.65	hypothesis	10.1093/gbe/evx119		RSES-Onco discovery hypothesis
SL018	APEX2 loss	APEX1	homologous_repair_backup_hypothesis	APEX1 may become dominant for abasic-site processing when APEX2 is absent	1	1	1	0.8	0.35	0.15	0.0	0.55	0.55	hypothesis	10.1093/gbe/evx119		RSES-Onco discovery hypothesis
SL019	SOD2 loss/low expression	SOD1	human_NISE_redox_hypothesis	Distinct compartmental SOD activities may create redox-selective backup dependencies	1	1	1	0.75	0.25	0.1	0.05	0.55	0.65	hypothesis	10.1093/gbe/evx119		RSES-Onco discovery hypothesis
SL020	PI4KA loss/low activity	PI4K2A	human_NISE_lipid_kinase_hypothesis	Alternative phosphatidylinositol 4-kinase architectures may buffer compartment-specific PI4P production	1	1	1	0.65	0.1	0.05	0.0	0.45	0.4	hypothesis	10.1093/gbe/evx119		RSES-Onco discovery hypothesis
SL021	High alkylation-damage state	NTHL1	context_defined_DNA_damage_dependency	Colorectal cancer models with a high c-alkyl mutational state become selectively vulnerable to NTHL1 inactivation, with rescue by NTHL1 re-expression.	1	0	0	0.9	0.8	0.95	0.75	0.25	1.0	preclinical organoid	10.1038/s41598-026-46639-y	10.1038/ng.3287	emerging validated context
SL022	High alkylation plus NTHL1 loss	CHEK1	tripartite_DNA_damage_vulnerability	NTHL1-inactivated high-alkyl colorectal models accumulate replication-associated damage and show enhanced apoptosis after CHK1/CHK1-2 inhibition.	1	0	0	0.85	0.7	0.9	0.7	0.65	1.0	preclinical combination	10.1038/s41598-026-46639-y		emerging combination prior
SL023	VPS4B loss or low expression	VPS4A	paralog_dependency	Reduced VPS4B copy number or expression creates dependency on its paralog VPS4A; the interaction was validated in colorectal models and a lung model.	1	0	1	0.95	0.95	0.95	0.7	0.25	0.85	preclinical	10.15252/emmm.201910812		validated prior
SL024	STAG2 loss	STAG1	paralog_dependency_DNA_repair_cohesin	STAG2-deficient cancer cells require the mutually exclusive cohesin paralog STAG1 for chromosome segregation, genome organization and DNA-repair-linked viability.	1	1	1	1.0	1.0	1.0	0.7	0.35	0.55	preclinical	10.7554/eLife.26980	10.18632/oncotarget.16838	validated broad prior
SL025	SMARCA4/SMARCA2 dual loss	MCL1	downstream_apoptotic_dependency	Concurrent SMARCA4/SMARCA2 loss reduces BCL-xL expression and creates a selective MCL1 dependency that is pharmacologically tractable.	0	0	1	0.9	0.95	0.95	0.9	0.7	1.0	preclinical PDX	10.1038/s41698-026-01350-z		emerging validated prior
